MIDA_PER_ID|CASE_OUTCOME|STATUS|CASE_APPLIC_DTE
2622743|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
2625922|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2633259|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2645098|GRANT I.L.R. (KOL TEST)||25/03/2012 00:00
2645455|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2658365|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2668873|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2669645|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2696176|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2717204|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2717206|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2726305|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2729849|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2730852|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2730867|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2734879|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
2740205|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2740665|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2741164|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
2755969|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2777097|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2780248|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2795427|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2811654|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2833288|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2838673|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2864961|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2867513|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2870189|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2894060|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2895930|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
2897872|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
2903950|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2923490|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2944690|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2950876|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
2959459|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2964187|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2966526|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
2981991|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
